code,units
13291-0,{OD_unit}
1329-2,
13292-8,[arb'U]/mL
13293-6,[arb'U]/mL
13294-4,
13295-1,[arb'U]/mL
13296-9,[arb'U]/mL
13297-7,[arb'U]/mL
13298-5,
13299-3,
13-3,
1330-0,
13300-9,
13301-7,
13302-5,
13303-3,
13304-1,
13305-8,
13306-6,
13307-4,
13308-2,
13309-0,
13310-8,
13311-6,
13312-4,[arb'U]/mL
13313-2,[arb'U]/mL
13314-0,
13315-7,
13316-5,
13317-3,
1331-8,
13318-1,
13319-9,
13320-7,
13321-5,
13322-3,
13323-1,[arb'U]/mL
13324-9,[arb'U]/mL
13325-6,
1332-6,
13326-4,
13327-2,
13328-0,
13329-8,
13330-6,
13331-4,%
13332-2,%
13333-0,%
1333-4,
13334-8,%
13335-5,%
13336-3,%
13337-1,%
13338-9,%
13339-7,%
13340-5,%
13341-3,%
1334-2,
13342-1,%
13343-9,%
13344-7,%
13345-4,%
13346-2,%
13347-0,
13348-8,
13349-6,/mL
13350-4,%
13351-2,10*3/uL
13352-0,%
13353-8,%
13354-6,%
13355-3,%
13356-1,
13357-9,[arb'U]/mL
13358-7,
1335-9,mL
13359-5,
13360-3,
13361-1,
13362-9,h
13363-7,h
13364-5,
13365-2,
13366-0,
1336-7,
13367-8,
13368-6,
13369-4,
13370-2,
13371-0,mg/dL
13372-8,
13373-6,
13374-4,mg/dL
1337-5,
13375-1,mg/dL
13376-9,mg/dL
13377-7,mg/dL
13378-5,mg/dL
13379-3,mg/dL
13380-1,
13381-9,mg/dL
13382-7,
1338-3,
13383-5,
13384-3,
13385-0,
13386-8,
13387-6,
13388-4,
13389-2,
133-9,
13390-0,
1339-1,
13391-8,
13392-6,
13393-4,
13394-2,mg/dL
13395-9,mg/dL
13396-7,mg/dL
13397-5,mg/dL
13398-3,mg/dL
13399-1,
13400-7,
13401-5,mg/dL
13402-3,mg/dL
13403-1,mg/dL
13404-9,mg/dL
13405-6,mg/dL
13406-4,mg/dL
13407-2,mg/dL
13408-0,mg/dL
1340-9,
13409-8,mg/dL
13410-6,mg/dL
13411-4,mg/dL
13412-2,mg/dL
13413-0,
13414-8,mg/dL
13415-5,mg/dL
13416-3,mg/dL
1341-7,
13417-1,mg/dL
13418-9,mg/dL
13419-7,mg/dL
13420-5,pg/mL
13421-3,pg/mL
13422-1,pg/mL
13423-9,pg/mL
13424-7,pg/mL
1342-5,
13425-4,pg/mL
13426-2,ug/mL
13427-0,ug/mL
13428-8,ug/mL
13429-6,ug/mL
13430-4,ug/mL
13431-2,ug/mL
13432-0,pg/mL
1343-3,
13433-8,pg/mL
13434-6,pg/mL
13435-3,pg/mL
13436-1,pg/mL
13437-9,pg/mL
13438-7,
13439-5,
13440-3,
1344-1,
13441-1,mL/min
13442-9,mL/min
13443-7,mL/min
13444-5,
13445-2,mL/min
13446-0,mL/min
13447-8,mL/min
13448-6,
13449-4,mL/min
13450-2,mL/min
13451-0,mL/min
13452-8,ug/g
13453-6,[arb'U]/mL
13454-4,mmol2/L2
13455-1,
13456-9,[arb'U]/mL
13457-7,mg/dL
1345-8,
13458-5,mg/dL
13459-3,
13460-1,
13461-9,
13462-7,{ratio}
13463-5,ug/g{creat}
13464-3,ug/g{creat}
13465-0,ug/g{creat}
1346-6,
13466-8,ug/g{creat}
13467-6,ug/g{creat}
13468-4,ug/g{creat}
13469-2,ug/g{creat}
134-7,
13470-0,ug/g{creat}
13471-8,ug/g{creat}
13472-6,ug/g{creat}
13473-4,ug/g{creat}
1347-4,
13474-2,mg/g{creat}
13475-9,mg/g{creat}
13476-7,ug/g{creat}
13477-5,mg/g{creat}
13478-3,ug/g{creat}
13479-1,ng/g{creat}
13480-9,ng/g{creat}
13481-7,
1348-2,
13482-5,ng/g{creat}
13483-3,mg/g{creat}
13484-1,mg/g{creat}
13485-8,ug/g{creat}
13486-6,ng/g{creat}
13487-4,mg/g{creat}
13488-2,s
13489-0,
1349-0,
13490-8,
13491-6,%
13492-4,%
13493-2,%
13494-0,mL
13495-7,L
13496-5,
13497-3,
13498-1,
13499-9,
13500-4,
13501-2,
13502-0,
13503-8,
13504-6,
13505-3,
13506-1,mL/min
13507-9,
1350-8,
13508-7,%
13509-5,
13510-3,
13511-1,
13512-9,
13513-7,
13514-5,
13515-2,
1351-6,
13516-0,%
13517-8,%
13518-6,%
13519-4,%
13520-2,%
13521-0,%
13522-8,%
13523-6,%
1352-4,
13524-4,%
13525-1,%
13526-9,%
13527-7,%
13528-5,%
13529-3,/uL
13530-1,/uL
13531-9,
1353-2,
13532-7,
13533-5,
13534-3,
13535-0,%
13536-8,g/dL
13537-6,g/L
13538-4,mmol/L
13539-2,mmol/L
135-4,{titer}
1354-0,ng/dL
13540-0,mmol/L
13541-8,mmol/L
13542-6,mg/dL
13543-4,
13544-2,
13545-9,
13546-7,ug/mL
13547-5,
13548-3,
13549-1,
13550-9,
13551-7,
13552-5,
13553-3,
13554-1,
13555-8,
13556-6,
1355-7,ng/dL
13557-4,
13558-2,
13559-0,
13560-8,
13561-6,ug/mL
13562-4,ug/mL
13563-2,
13564-0,
1356-5,ug/dL
13565-7,
13566-5,
13567-3,
13568-1,
13569-9,
13570-7,
13571-5,
13572-3,
1357-3,ug/dL
13573-1,
13574-9,
13575-6,
13576-4,
13577-2,
13578-0,
13579-8,
13580-6,
1358-1,pg/mL
13581-4,ug/mL
13582-2,ug/mL
13583-0,
13584-8,ug/mL
13585-5,
13586-3,ug/mL
13587-1,ug/mL
13588-9,
13589-7,
13590-5,{ratio}
13591-3,[beth'U]
13592-1,
13593-9,
13594-7,
13595-4,%
13596-2,
13597-0,%
13598-8,%
1359-9,pg/mL
13599-6,%
13600-2,ug/mL
13601-0,ug/dL
13602-8,ug/dL
13603-6,ng/dL
13604-4,ng/dL
13605-1,ng/dL
13606-9,mg/dL
1360-7,pg/mL
13607-7,mg/dL
13608-5,ug/L
13609-3,ug/L
13610-1,ng/dL
13611-9,ug/(24.h)
13612-7,mg/(24.h)
13613-5,mg/dL
13614-3,ng/dL
1361-5,pg/mL
13615-0,
13616-8,mg/L
13617-6,pg/mL
13618-4,ug/(24.h)
13619-2,mL
136-2,
13620-0,mL
13621-8,s
13622-6,ug/mL
1362-3,pg/mL
13623-4,ng/mL
13624-2,ug/mL
13625-9,ng/mL
13626-7,ug/mL
13627-5,
13628-3,%
13629-1,pg/mL
13630-9,[arb'U]
1363-1,pg/mL
13631-7,ug/mL
13632-5,{titer}
13633-3,
13634-1,[IU]/mL
13635-8,{titer}
13636-6,[arb'U]/mL
13637-4,ug/mL
13638-2,[ppb]
13639-0,[ppb]
13640-8,mg/L
13641-6,
13642-4,
13643-2,ug/mL
13644-0,ug/mL
13645-7,mg/L
13646-5,ng/g
13647-3,ug/mL
13648-1,
1364-9,pg/mL
13649-9,mg/L
13650-7,ug/mL
13651-5,ug/mL
13652-3,ug/g
13653-1,/mL
13654-9,/mL
13655-6,
1365-6,pg/mL
13656-4,/mL
13657-2,/mL
13658-0,
13659-8,ng/g
13660-6,
13661-4,{titer}
13662-2,{titer}
13663-0,{titer}
1366-4,pg/mL
13664-8,{titer}
13665-5,mg/g{creat}
13666-3,mg/g{creat}
13667-1,mg/g{creat}
13668-9,ug/g{creat}
13669-7,ug/g{creat}
13670-5,ug/g{creat}
13671-3,ug/g{creat}
1367-2,pg/mL
13672-1,ug/g{creat}
13673-9,mg/g{creat}
13674-7,mg/g{creat}
13675-4,
13676-2,
13677-0,
13678-8,mg/g{creat}
13679-6,
1368-0,pg/mL
13680-4,
13681-2,
13682-0,ug/g{creat}
13683-8,ug/g{creat}
13684-6,ug/g{creat}
13685-3,ug/g{creat}
13686-1,ug/g{creat}
13687-9,ug/g{creat}
13688-7,ug/g{creat}
13689-5,ug/g{creat}
13690-3,mg/g{creat}
13691-1,mg/g{creat}
13692-9,
13693-7,g/g{creat}
13694-5,ug/g{creat}
13695-2,ug/g{creat}
13696-0,
13697-8,
1369-8,mg/(24.h)
13698-6,mg/g{creat}
13699-4,mg/g{creat}
137-0,
13700-0,ug/g{creat}
13701-8,ug/g{creat}
13702-6,g/g{creat}
13703-4,ug/mg{creat}
13704-2,
13705-9,mg/g{creat}
1370-6,ug/dL
13706-7,ug/g{creat}
13707-5,ug/g{creat}
13708-3,ug/g{creat}
13709-1,mg/g{creat}
13710-9,mg/g{creat}
13711-7,g/g{creat}
13712-5,mg/g{creat}
13713-3,
1371-4,
13714-1,
13715-8,ug/g{creat}
13716-6,ng/g{creat}
13717-4,mg/g{creat}
13718-2,mg/g{creat}
13719-0,mg/g{creat}
13720-8,mg/g{creat}
13721-6,g/g{creat}
1372-2,pg/mL
13722-4,mg/g{creat}
13723-2,
13724-0,
13725-7,ug/g{creat}
13726-5,
13727-3,
13728-1,ug/g{creat}
13729-9,
1373-0,pg/mL
13730-7,
13731-5,
13732-3,ug/g{creat}
13733-1,ug/g{creat}
13734-9,ug/g{creat}
13735-6,ug/g{creat}
13736-4,ug/g{creat}
13737-2,ug/g{creat}
13738-0,ug/g{creat}
13739-8,ug/g{creat}
13740-6,mg/g{creat}
13741-4,mg/g{creat}
13742-2,ug/g{creat}
13743-0,
13744-8,mg/g{creat}
13745-5,
13746-3,mg/g{creat}
13747-1,mg/g{creat}
1374-8,pg/mL
13748-9,
13749-7,ug/mg{creat}
13750-5,mg/g{creat}
13751-3,ug/mg{creat}
13752-1,
13753-9,ug/g{creat}
13754-7,g/g{creat}
1375-5,pg/mL
13755-4,ug/g{creat}
13756-2,ug/g{creat}
13757-0,mg/g{creat}
13758-8,
13759-6,mg/g{creat}
13760-4,mg/g{creat}
13761-2,
13762-0,
1376-3,pg/mL
13763-8,mg/g{creat}
13764-6,
13765-3,mg/g{creat}
13766-1,
13767-9,mg/g{creat}
13768-7,mg/g{creat}
13769-5,mg/g{creat}
13770-3,
1377-1,pg/mL
13771-1,ug/g{creat}
13772-9,mg/g{creat}
13773-7,mg/g{creat}
13774-5,g/g{creat}
13775-2,ug/g{creat}
13776-0,ug/g{creat}
13777-8,mg/g{creat}
13778-6,
13779-4,mg/g{creat}
13780-2,
13781-0,ug/g{creat}
13782-8,ug/g{creat}
13783-6,ug/g{creat}
13784-4,
13785-1,
13786-9,mg/g{creat}
13787-7,mg/g{creat}
13788-5,ug/g{creat}
1378-9,pg/mL
13789-3,mg/g{creat}
13790-1,mg/g{creat}
13791-9,
13792-7,
13793-5,mg/g{creat}
13794-3,
13795-0,mg/g{creat}
13796-8,mg/g{creat}
1379-7,pg/mL
13797-6,mg/g{creat}
13798-4,
13799-2,mg/g{creat}
13800-8,
13801-6,mg/g{creat}
13802-4,
13803-2,
13804-0,
1380-5,
13805-7,mg/g{creat}
13806-5,
13807-3,
13808-1,mg/g{creat}
13809-9,
13810-7,
13811-5,mg/g{creat}
13812-3,
1381-3,mmol/L
13813-1,
13814-9,mg/g{creat}
13815-6,mg/g{creat}
13816-4,
13817-2,mg/g{creat}
13818-0,mg/g{creat}
13819-8,ng/g{creat}
13820-6,mg/g{creat}
1382-1,mmol/L
13821-4,g/g{creat}
13822-2,mg/g{creat}
13823-0,ug/g{creat}
13824-8,ug/g{creat}
13825-5,ug/g{creat}
13826-3,ug/g{creat}
13827-1,ug/g{creat}
13828-9,ug/g{creat}
13829-7,ug/g{creat}
13830-5,g/g{creat}
13831-3,ug/g{creat}
13832-1,g/g{creat}
13833-9,k[IU]/L
13834-7,[IU]/mL
13835-4,%
13836-2,%
13837-0,%
13838-8,%
1383-9,mmol/L
13839-6,%
13840-4,%
13841-2,%
13842-0,%
13843-8,%
13844-6,%
13845-3,%
13846-1,%
1384-7,mmol/L
13847-9,%
13848-7,/uL
13849-5,%
13850-3,/uL
13851-1,%
13852-9,ng/dL
13853-7,ng/dL
1385-4,ug/L
13854-5,ng/dL
13855-2,ng/dL
13856-0,ng/dL
13857-8,ng/dL
13858-6,ng/dL
13859-4,ng/mL
13860-2,ng/mL
13861-0,ng/mL
1386-2,ug/L
13862-8,ng/dL
13863-6,ng/dL
13864-4,ng/dL
13865-1,mg/dL
13866-9,mg/dL
13867-7,ng/mL/h
13868-5,ng/mL/h
13869-3,ng/mL
1387-0,ug/L
13870-1,ng/mL
13871-9,ng/mL
13872-7,ug/(24.h)
13873-5,%
13874-3,U/L
13875-0,U/L
13876-8,
13877-6,
13878-4,[arb'U]/mL
13879-2,[arb'U]/mL
138-8,
13880-0,[arb'U]/mL
13881-8,nmol/mmol{creat}
13882-6,%
13883-4,%
13884-2,pg/mL
13885-9,ug/g{creat}
13886-7,%
13887-5,%
1388-8,ug/L
13888-3,%
13889-1,%
13890-9,%
13891-7,pg/mL
13892-5,
13893-3,
13894-1,ug/(24.h)
13895-8,mmol/L
1389-6,ng/mL
13896-6,[IU]/mL
13897-4,ng/mL
13898-2,ug/mL
13899-0,mg/dL
13900-6,pg/mL
13901-4,
13902-2,mg/dL
13903-0,pg/mL
1390-4,ng/mL
13904-8,ng/mL
13905-5,ug/mL
13906-3,
13907-1,ng/dL
13908-9,ug/mL
13909-7,ng/mL
13910-5,
13911-3,
1391-2,ng/mL
13912-1,
13913-9,{titer}
13914-7,{Index_val}
13915-4,{titer}
13916-2,
13917-0,{titer}
13918-8,{titer}
13919-6,[arb'U]/mL
1392-0,ng/mL
13920-4,
13921-2,
13922-0,
13923-8,
13924-6,
13925-3,
13926-1,[arb'U]/mL
13927-9,{titer}
13928-7,
13929-5,{titer}
13930-3,{titer}
13931-1,
13932-9,{titer}
13933-7,ng/g
13934-5,ug/mL
13935-2,ug/mL
13936-0,ug/mL
13937-8,ug/mL
1393-8,ng/mL
13938-6,ug/mL
13939-4,ug/mL
13940-2,ug/mL
13941-0,%
13942-8,
13943-6,
13944-4,
13945-1,/[HPF]
1394-6,ng/mL
13946-9,
13947-7,
13948-5,
13949-3,
13950-1,
13951-9,
13952-7,
1395-3,ng/mL
13953-5,
13954-3,
13955-0,
13956-8,
13957-6,
13958-4,
13959-2,mmol/L
139-6,{titer}
13960-0,
1396-1,ng/mL
13961-8,
13962-6,nmol/mL/h
13963-4,umol/L
13964-2,nmol/L;umol/L
13965-9,umol/L
13966-7,umol/(24.h)
13967-5,nmol/L
13968-3,
13969-1,ng/mL
13970-9,mg/L
13971-7,[arb'U]/mL
13972-5,%
13973-3,%
13974-1,%
13975-8,%
13976-6,%
13977-4,%
13978-2,%
1397-9,ug/dL
13979-0,%
13980-8,%
13981-6,%
13982-4,%
13983-2,%
13984-0,%
13985-7,%
13986-5,%
1398-7,ug/dL
13987-3,%
13988-1,%
13989-9,%
13990-7,%
13991-5,%
13992-3,%
13993-1,%
13994-9,%
1399-5,ug/dL
13995-6,%
13996-4,mmol/mol{creat}
13997-2,{titer}
13998-0,{titer}
13999-8,[arb'U]/L
14000-4,mg/dL
1400-1,ug/dL
14001-2,[IU]/mL
14002-0,[arb'U]/mL
14003-8,mm[Hg]
14004-6,ng/(24.h)
14005-3,ng/(24.h)
14006-1,ng/(24.h)
14007-9,ng/(24.h)
14008-7,[arb'U]
14009-5,[arb'U]
14010-3,[arb'U]
14011-1,[arb'U]/mL
14012-9,[arb'U]
14013-7,[arb'U]
14014-5,ug/dL
14015-2,
14016-0,ug/dL
14017-8,%
14018-6,%
1401-9,ug/dL
14019-4,
14020-2,
14021-0,
14022-8,
14023-6,
14024-4,
14025-1,
14026-9,
1402-7,ug/dL
14027-7,
14028-5,
14029-3,
14030-1,[arb'U]/mL
14031-9,mg/mL
14032-7,mg/mL
14033-5,ug/mL
14034-3,[IU]/mL
1403-5,ug/dL
14035-0,k[IU]/L
14036-8,k[IU]/L
14037-6,k[IU]/L
14038-4,k[IU]/L
14039-2,%
140-4,
14040-0,mmol/L
14041-8,[IU]/L
14042-6,ug/(24.h)
1404-3,ug/dL
14043-4,ug/(12.h)
14044-2,ug/(24.h)
14045-9,mmol/L
14046-7,mmol/L
14047-5,pg/mL
14048-3,ng/mL
14049-1,ng/mL
1405-0,ug/dL
14050-9,fmol/mg{protein}
14051-7,ug/dL
14052-5,ug/mL
14053-3,
14054-1,ng/(24.h)
14055-8,mol/kg
14056-6,ug/mL
14057-4,ug/mL
14058-2,ug/mL
14059-0,ug/mL
14060-8,
14061-6,ug/mL
14062-4,ng/dL
14063-2,
14064-0,ng/mL
14065-7,ug/mL
14066-5,
14067-3,ng/mL
1406-8,ug/dL
14068-1,ng/mL
14069-9,ng/mL
14070-7,
14071-5,
14072-3,ug/mL
14073-1,ug/mL
14074-9,ng/mL
14075-6,ug/mL
1407-6,ug/dL
14076-4,
14077-2,[arb'U]/mL
14078-0,[arb'U]/mL
14079-8,{titer}
14080-6,{titer}
14081-4,
14082-2,[arb'U]/mL
14083-0,{titer}
1408-4,ug/dL
14084-8,
14085-5,
14086-3,{titer}
14087-1,{titer}
14088-9,{titer}
14089-7,{titer}
14090-5,{titer}
14091-3,{titer}
1409-2,ug/dL
14092-1,
14093-9,
14094-7,{titer}
14095-4,[arb'U]/mL
14096-2,{titer}
14097-0,ug/(24.h)
14098-8,ug/mL
14099-6,ng/mL
14-1,{titer}
1410-0,ug/dL
14100-2,
14101-0,ug/mL
14102-8,ug/mL
14103-6,
14104-4,k[IU]/L
14105-1,
14106-9,10*3/uL
14107-7,%
14108-5,/uL
14109-3,%
14110-1,%
14111-9,%
14112-7,%
14113-5,/uL
14114-3,ng/dL
14115-0,nmol/mmol{creat}
14116-8,mg/(24.h)
14117-6,
1411-8,ug/dL
14118-4,mg/dL
14119-2,
141-2,
14120-0,%
14121-8,mmol/L
14122-6,mmol/L
14123-4,
14124-2,
14125-9,
1412-6,ug/dL
14126-7,
14127-5,
14128-3,{titer}
14129-1,
14130-9,pmol/g
14131-7,
14132-5,
14133-3,k[IU]/L
1413-4,ug/dL
14134-1,mg/dL
14135-8,/uL
14136-6,/uL
14137-4,mg/dL
14138-2,
14139-0,
14140-8,
14141-6,
1414-2,ug/dL
14142-4,ng/mL
14143-2,ng/mL
14144-0,ng/mL
14145-7,ng/mL
14146-5,ng/mL
14147-3,ng/mL
14148-1,ug/(24.h)
14149-9,pg/mL
14150-7,nmol/h/mL
14151-5,mmol/L
14152-3,mg/dL
14153-1,
14154-9,ug/dL
14155-6,
14156-4,ug/g
14157-2,ug/dL
14158-0,ug/(24.h)
1415-9,ug/dL
14159-8,ug/dL
14160-6,%
14161-4,
14162-2,pg/mL
14163-0,mg/dL
14164-8,mg/L
14165-5,mmol/L
14166-3,[ppm]
1416-7,ug/dL
14167-1,mg/(24.h)
14168-9,umol/min/g{protein}
14169-7,pg/mL
14170-5,ng/mL;ng/L
14171-3,ug/g
14172-1,mmol/L
14173-9,ug/(24.h)
14174-7,pg/mL
1417-5,ug/dL
14175-4,ug/g
14176-2,ug/dL
14177-0,pg/mL
14178-8,umol/min/g{protein}
14179-6,ug/L
14180-4,ug/dL
14181-2,ug/g
14182-0,ng/mL
1418-3,ug/dL
14183-8,ug/mL
14184-6,
14185-3,ug/mL
14186-1,ug/dL
14187-9,ug/L
14188-7,ug/mL
14189-5,ug/mL
14190-3,mg/L
1419-1,ug/dL
14191-1,mg/dL
14192-9,
14193-7,
14194-5,%
14195-2,ug/mL
14196-0,10*3/uL
14197-8,
14198-6,{titer}
14199-4,{titer}
142-0,
14200-0,{titer}
14201-8,{titer}
14202-6,{titer}
14203-4,{titer}
14204-2,{titer}
14205-9,
14206-7,
14207-5,{titer}
14208-3,[arb'U]/mL
1420-9,ug/dL
14209-1,
14210-9,
14211-7,
14212-5,
14213-3,{titer}
14214-1,
14215-8,
14216-6,
1421-7,ug/dL
14217-4,
14218-2,
14219-0,
14220-8,
14221-6,
14222-4,
14223-2,
14224-0,
1422-5,ug/dL
14225-7,
14226-5,
14227-3,{titer}
14228-1,%
14229-9,
14230-7,%
14231-5,[arb'U]/mL
14232-3,
1423-3,ug/dL
14233-1,{titer}
14234-9,{titer}
14235-6,{titer}
14236-4,
14237-2,[arb'U]/mL
14238-0,[arb'U]/mL
14239-8,[arb'U]/mL
14240-6,[arb'U]/mL
1424-1,ug/dL
14241-4,
14242-2,
14243-0,
14244-8,
14245-5,{GPS'U}
14246-3,{MPS'U}
14247-1,
14248-9,{titer}
14249-7,
14250-5,[arb'U]/mL
14251-3,[arb'U]
14252-1,
14253-9,
14254-7,{titer}
14255-4,%{inhibition}
14256-2,ug/g
14257-0,ug/L
1425-8,ug/dL
14258-8,ug/mL
14259-6,ug/mL
14260-4,ug/mL
14261-2,
14262-0,ug/g
14263-8,ug/g
14264-6,ug/mL
14265-3,ug/mL
1426-6,ug/dL
14266-1,ug/mL
14267-9,
14268-7,ug/mL
14269-5,ug/mL
14270-3,ug/mL
14271-1,
14272-9,
14273-7,
1427-4,ug/dL
14274-5,ug/dL
14275-2,[arb'U]/mL
14276-0,
14277-8,{titer}
14278-6,{titer}
1428-2,ug/dL
14282-8,umol/L
14283-6,umol/L
14284-4,nmol/mL
14285-1,umol/L
14286-9,umol/L
14287-7,umol/L
14288-5,umol/L
14289-3,
1429-0,ug/dL
14290-1,[arb'U]/mL
14291-9,
14292-7,
14293-5,pmol/L
14294-3,
14295-0,mmol/mol{creat}
14296-8,
14297-6,
14298-4,{#};{# units}
14299-2,{#};{# units}
14300-8,{#};{# units}
14301-6,{#};{# units}
14302-4,{#};{# units}
14303-2,mL
14304-0,[arb'U]/mL
14305-7,[arb'U]/mL
14306-5,[arb'U]/mL
14307-3,[arb'U]/mL
1430-8,ug/dL
14308-1,
14309-9,
14310-7,
14311-5,
14312-3,
14313-1,ng/mL
14314-9,
14315-6,
1431-6,ug/dL
14316-4,
14317-2,
14318-0,
14319-8,
14320-6,
14321-4,
14322-2,
14323-0,
1432-4,ug/dL
14324-8,
14325-5,
14326-3,%
14327-1,
14328-9,
14329-7,
14330-5,%
14331-3,[arb'U]/mL
1433-2,ug/dL
14332-1,
14333-9,
14334-7,mmol/L
14335-4,{OD_unit}
14336-2,mg/dL
14337-0,
14338-8,mg/dL;g/dL
14339-6,%
1434-0,ug/dL
14340-4,
14341-2,%
14342-0,ug/g{creat}
14343-8,%
14344-6,%
14345-3,
14346-1,
14347-9,
14348-7,
14349-5,
14350-3,
14351-1,
14352-9,
14353-7,
14354-5,
14355-2,
14356-0,
1435-7,ug/dL
14357-8,
14358-6,
14359-4,
14360-2,
14361-0,
14362-8,
14363-6,
14364-4,
1436-5,ug/dL
14365-1,
14366-9,
14367-7,
14368-5,
14369-3,
14370-1,
14371-9,
14372-7,10*3/uL
1437-3,ug/dL
14373-5,10*3/uL
14374-3,%
14375-0,%
14376-8,%
14377-6,%
14378-4,%
14379-2,%
143-8,{titer}
14380-0,%
1438-1,ug/dL
14381-8,%
14382-6,%
14383-4,%
14384-2,%
14385-9,%
14386-7,mg/dL
14387-5,g/dL
14388-3,U/L
14389-1,U/L
14390-9,U/L
14391-7,U/L
14392-5,U/L
14393-3,mg/dL
14394-1,mg/dL
14395-8,
14396-6,mg/dL
14397-4,mg/dL
14398-2,mg/dL
1439-9,ug/dL
14399-0,mg/dL
14400-6,mg/dL
14401-4,mg/dL
14402-2,mg/dL
14403-0,U/L
14404-8,mg/dL
14405-5,mg/dL
14406-3,mg/dL
1440-7,ug/dL
14407-1,mg/dL
14408-9,mg/dL
14409-7,U/L
14410-5,U/L
14411-3,U/L
14412-1,U/L
14413-9,U/L
14414-7,U/L
1441-5,ug/dL
14415-4,mmol/L
14416-2,mmol/L
14417-0,mmol/L
14418-8,mmol/L
14419-6,mmol/L
14420-4,mg/dL
14421-2,mg/dL
14422-0,mg/dL
1442-3,ug/dL
14423-8,mg/dL
14424-6,mg/dL
14425-3,g/dL
14426-1,g/dL
14427-9,g/dL
14428-7,g/dL
14429-5,g/dL
14430-3,g/dL
1443-1,ug/dL
14431-1,g/dL
14432-9,{ratio}
14433-7,{ratio}
14434-5,{ratio}
14435-2,{ratio}
14436-0,{ratio}
14437-8,{ratio}
14438-6,mg/dL
14439-4,mg/dL
14440-2,
14441-0,mg/dL
14442-8,mg/dL
14443-6,mg/dL
14444-4,mg/dL
14445-1,mg/dL
14446-9,mg/dL
14447-7,mg/dL
14448-5,mg/dL
1444-9,ug/dL
14449-3,mg/dL
14450-1,mg/dL
14451-9,
14452-7,
14453-5,
14454-3,
14455-0,
1445-6,ug/dL
14456-8,
14457-6,
14458-4,
14459-2,
144-6,
14460-0,
14461-8,
14462-6,
14463-4,
1446-4,ug/dL
14464-2,
14465-9,
14466-7,
14467-5,
14468-3,
14469-1,
14470-9,
14471-7,
1447-2,ug/dL
14472-5,
14473-3,
14474-1,
14475-8,
14476-6,
14477-4,
14478-2,
14479-0,
1448-0,ug/dL
14480-8,
14481-6,
14482-4,
14483-2,
14484-0,
14485-7,
14486-5,
14487-3,
14488-1,
14489-9,
14490-7,
14491-5,
14492-3,
14493-1,
14494-9,
14495-6,
14496-4,
14497-2,
1449-8,ug/dL
14498-0,
14499-8,
14500-3,
14501-1,
14502-9,
14503-7,
14504-5,
14505-2,
1450-6,ug/dL
14506-0,
14507-8,
14508-6,
14509-4,
14510-2,
14511-0,
14512-8,
14513-6,
1451-4,ug/dL
14514-4,
14515-1,
14516-9,
14517-7,
14518-5,
14519-3,
14520-1,
14521-9,
1452-2,mg/dL
14522-7,
14523-5,
14524-3,
14525-0,
14526-8,
14527-6,
14528-4,
14529-2,
145-3,
1453-0,mg/dL
14530-0,
14531-8,
14532-6,
14533-4,
14534-2,
14535-9,
14536-7,
14537-5,
14538-3,
14539-1,
14540-9,
14541-7,
14542-5,
14543-3,
14544-1,
14545-8,
14546-6,
14547-4,
1454-8,mg/dL
14548-2,
14549-0,
14550-8,
14551-6,
14552-4,
14553-2,
14554-0,
1455-5,mg/dL
14555-7,
14556-5,
14557-3,
14558-1,
14559-9,
14560-7,
14561-5,
14562-3,
1456-3,mg/dL
14563-1,
14564-9,
14565-6,
14566-4,pmol/L
14567-2,nmol/L
14568-0,umol/(24.h)
14569-8,nmol/L
14570-6,nmol/L
1457-1,mg/dL
14571-4,nmol/(24.h)
14572-2,umol/(24.h)
14573-0,umol/(24.h)
14574-8,umol/L
14575-5,
14576-3,
14577-1,
14578-9,
14579-7,
14580-5,
14581-3,umol/L
14582-1,mmol/L
14583-9,
14584-7,umol/(24.h)
14585-4,mmol/mol{creat}
14586-2,pmol/L
14587-0,nmol/(24.h)
14588-8,
1458-9,mg/dL
14589-6,
14590-4,umol/L
14591-2,nmol/L
14592-0,nmol/L
14593-8,nmol/L
14594-6,
14595-3,
14596-1,
1459-7,mg/dL
14597-9,nmol/L
14598-7,umol/L
14599-5,
14600-1,umol/L
14601-9,umol/L
14602-7,umol/L
14603-5,nmol/L
14604-3,
1460-5,mg/(24.h)
14605-0,
14606-8,
14607-6,
14608-4,
14609-2,
146-1,
14610-0,
14611-8,
14612-6,{titer}
1461-3,pg/mL
14613-4,{titer}
14614-2,{titer}
14615-9,{titer}
14616-7,{titer}
14617-5,
14618-3,
14619-1,
14620-9,
1462-1,pg/mL
14621-7,
14622-5,umol/L
14623-3,
14624-1,
14625-8,%
14626-6,nmol/L
14627-4,mmol/L
14628-2,umol/L
14629-0,umol/L
14630-8,umol/L
14631-6,umol/L
14632-4,
14633-2,pmol/L
14634-0,{titer}
14635-7,nmol/L
14636-5,
14637-3,mmol/(24.h)
14638-1,
1463-9,pg/mL
14639-9,umol/L
14640-7,mmol/L
14641-5,
14642-3,umol/L
14643-1,nmol/(24.h)
14644-9,
14645-6,umol/L
14646-4,mmol/L
1464-7,pg/mL
14647-2,mmol/L
14648-0,mmol/L
14649-8,
14650-6,mmol/(24.h)
14651-4,umol/L
14652-2,nmol/L
14653-0,nmol/L
1465-4,pg/mL
14654-8,nmol/L
14655-5,nmol/L
14656-3,nmol/L
14657-1,nmol/L
14658-9,{titer}
14659-7,
14660-5,
14661-3,
